dataset,method,trial,dm,eps,depth,acc,date,sens,elapsed_ns
adult_clean,SmoothLaplaceRLNM,9,Max,0.01,2,0.7461300309597523,2024-06-26 16:33:11.434924,0.721299030890175,1193021000.0
adult_clean,SmoothLaplaceRLNM,10,Max,0.01,2,0.6780897634313509,2024-06-26 16:33:13.631184,0.721299030890175,2171850000.0
adult_clean,SmoothLaplaceRLNM,11,Max,0.01,2,0.7408799469378731,2024-06-26 16:33:14.862508,0.721299030890175,1215781000.0
adult_clean,SmoothLaplaceRLNM,12,Max,0.01,2,0.7324192835028749,2024-06-26 16:33:16.923960,0.721299030890175,2046678000.0
adult_clean,SmoothLaplaceRLNM,13,Max,0.01,2,0.6656346749226006,2024-06-26 16:33:19.145586,0.721299030890175,2206981000.0
adult_clean,SmoothLaplaceRLNM,14,Max,0.01,2,0.7609464838567006,2024-06-26 16:33:21.070682,0.721299030890175,1911583000.0
adult_clean,SmoothLaplaceRLNM,15,Max,0.01,2,0.6594427244582043,2024-06-26 16:33:23.183805,0.721299030890175,2096124000.0
adult_clean,SmoothLaplaceRLNM,16,Max,0.01,2,0.765811587793012,2024-06-26 16:33:24.401646,0.721299030890175,1198360000.0
adult_clean,SmoothLaplaceRLNM,17,Max,0.01,2,0.745687748783724,2024-06-26 16:33:26.602589,0.721299030890175,2185976000.0
adult_clean,SmoothLaplaceRLNM,18,Max,0.01,2,0.7087571870853605,2024-06-26 16:33:27.807404,0.721299030890175,1191275000.0
adult_clean,SmoothLaplaceRLNM,19,Max,0.01,2,0.7465723131357807,2024-06-26 16:33:29.431904,0.721299030890175,1604365000.0
adult_clean,SmoothLaplaceRLNM,20,Max,0.01,2,0.7437541454786646,2024-06-26 16:33:31.590394,0.721299030890175,2135151000.0
adult_clean,SmoothLaplaceRLNM,21,Max,0.01,2,0.706831748839266,2024-06-26 16:33:32.830818,0.721299030890175,1220263000.0
adult_clean,SmoothLaplaceRLNM,22,Max,0.01,2,0.7397169394073418,2024-06-26 16:33:34.434058,0.721299030890175,1580915000.0
adult_clean,SmoothLaplaceRLNM,23,Max,0.01,2,0.7560813799203893,2024-06-26 16:33:36.037788,0.721299030890175,1580739000.0
adult_clean,SmoothLaplaceRLNM,24,Max,0.01,2,0.7439186200796107,2024-06-26 16:33:38.220766,0.721299030890175,2154814000.0
adult_clean,SmoothLaplaceRLNM,25,Max,0.01,2,0.7618310482087571,2024-06-26 16:33:40.098300,0.721299030890175,1851957000.0
adult_clean,SmoothLaplaceRLNM,26,Max,0.01,2,0.7507739938080495,2024-06-26 16:33:41.978851,0.721299030890175,1857212000.0
adult_clean,SmoothLaplaceRLNM,27,Max,0.01,2,0.7454666076957098,2024-06-26 16:33:44.087354,0.721299030890175,2059401000.0
adult_clean,SmoothLaplaceRLNM,28,Max,0.01,2,0.7368421052631579,2024-06-26 16:33:46.274082,0.721299030890175,2156236000.0
adult_clean,SmoothLaplaceRLNM,29,Max,0.01,2,0.7401592215833702,2024-06-26 16:33:47.992475,0.721299030890175,1695892000.0
adult_clean,SmoothLaplaceRLNM,30,Max,0.01,2,0.7570196772053946,2024-06-26 16:33:50.244591,0.721299030890175,2221034000.0
adult_clean,SmoothLaplaceRLNM,31,Max,0.01,2,0.6842803449038249,2024-06-26 16:33:52.367912,0.721299030890175,2095939000.0
adult_clean,SmoothLaplaceRLNM,32,Max,0.01,2,0.7739938080495357,2024-06-26 16:33:53.985067,0.721299030890175,1594776000.0
adult_clean,SmoothLaplaceRLNM,33,Max,0.01,2,0.7523219814241486,2024-06-26 16:33:56.173572,0.721299030890175,2163173000.0
adult_clean,SmoothLaplaceRLNM,34,Max,0.01,2,0.721141088014153,2024-06-26 16:33:58.376392,0.721299030890175,2175323000.0
adult_clean,SmoothLaplaceRLNM,35,Max,0.01,2,0.7171605484298983,2024-06-26 16:33:59.607949,0.721299030890175,1211301000.0
adult_clean,SmoothLaplaceRLNM,36,Max,0.01,2,0.6780185758513931,2024-06-26 16:34:01.336969,0.721299030890175,1704967000.0
adult_clean,SmoothLaplaceRLNM,37,Max,0.01,2,0.7432551968155683,2024-06-26 16:34:02.573803,0.721299030890175,1216572000.0
adult_clean,SmoothLaplaceRLNM,38,Max,0.01,2,0.7193719593100398,2024-06-26 16:34:03.792189,0.721299030890175,1197868000.0
adult_clean,SmoothLaplaceRLNM,39,Max,0.01,2,0.6784608580274215,2024-06-26 16:34:05.611768,0.721299030890175,1738824000.0
adult_clean,SmoothLaplaceRLNM,40,Max,0.01,2,0.7501658191465841,2024-06-26 16:34:07.751867,0.721299030890175,2111480000.0
adult_clean,SmoothLaplaceRLNM,41,Max,0.01,2,0.7413221313287641,2024-06-26 16:34:09.851482,0.721299030890175,2073116000.0
adult_clean,SmoothLaplaceRLNM,42,Max,0.01,2,0.7733303847854931,2024-06-26 16:34:12.035828,0.721299030890175,2158178000.0
adult_clean,SmoothLaplaceRLNM,43,Max,0.01,2,0.6862007961079168,2024-06-26 16:34:14.211158,0.721299030890175,2149798000.0
adult_clean,SmoothLaplaceRLNM,44,Max,0.01,2,0.7021229544449359,2024-06-26 16:34:16.382912,0.721299030890175,2143983000.0
adult_clean,SmoothLaplaceRLNM,45,Max,0.01,2,0.7518796992481203,2024-06-26 16:34:17.995311,0.721299030890175,1591257000.0
adult_clean,SmoothLaplaceRLNM,46,Max,0.01,2,0.7275541795665634,2024-06-26 16:34:20.151383,0.721299030890175,2108978000.0
adult_clean,SmoothLaplaceRLNM,47,Max,0.01,2,0.7249004865103936,2024-06-26 16:34:22.062188,0.721299030890175,1881909000.0
adult_clean,SmoothLaplaceRLNM,48,Max,0.01,2,0.7346306943830163,2024-06-26 16:34:24.229384,0.721299030890175,2140847000.0
adult_clean,SmoothLaplaceRLNM,49,Max,0.01,2,0.6450685537372843,2024-06-26 16:34:26.201577,0.721299030890175,1946672000.0
adult_clean,TStudentRLNM,0,Max,0.05,2,0.8021224850762768,2024-06-26 16:34:28.668079,0.002671807685199448,2120459000.0
adult_clean,TStudentRLNM,1,Max,0.05,2,0.7647579040459872,2024-06-26 16:34:30.641511,0.002671807685199448,1947234000.0
adult_clean,TStudentRLNM,2,Max,0.05,2,0.8045112781954887,2024-06-26 16:34:32.802940,0.002671807685199448,2136793000.0
adult_clean,TStudentRLNM,3,Max,0.05,2,0.7558602388323751,2024-06-26 16:34:34.782629,0.002671807685199448,1955013000.0
adult_clean,TStudentRLNM,4,Max,0.05,2,0.7653693056169837,2024-06-26 16:34:37.020762,0.002671807685199448,2210670000.0
adult_clean,TStudentRLNM,5,Max,0.05,2,0.8031844316674038,2024-06-26 16:34:39.208452,0.002671807685199448,2162815000.0
adult_clean,TStudentRLNM,6,Max,0.05,2,0.7790800530738611,2024-06-26 16:34:41.345377,0.002671807685199448,2105344000.0
adult_clean,TStudentRLNM,7,Max,0.05,2,0.7967713401149934,2024-06-26 16:34:43.531821,0.002671807685199448,2161352000.0
